Numero de documentos del corpus: 4480
Numero de palabras del corpus: 380860
Palabra: 4480 Frec: 1 LogProb: -12.290225
Palabra: aa Frec: 8 LogProb: -10.786148
Palabra: aaa Frec: 4 LogProb: -11.373935
Palabra: aaabattery Frec: 0 LogProb: -12.983373
Palabra: aaar Frec: 1 LogProb: -12.290225
Palabra: aaas Frec: 1 LogProb: -12.290225
Palabra: aac Frec: 0 LogProb: -12.983373
Palabra: aachen Frec: 1 LogProb: -12.290225
Palabra: aadhaar Frec: 0 LogProb: -12.983373
Palabra: aadhar Frec: 0 LogProb: -12.983373
Palabra: aadhunik Frec: 0 LogProb: -12.983373
Palabra: aadhya Frec: 0 LogProb: -12.983373
Palabra: aadi Frec: 0 LogProb: -12.983373
Palabra: aadmi Frec: 1 LogProb: -12.290225
Palabra: aadmora Frec: 0 LogProb: -12.983373
Palabra: aadvay Frec: 0 LogProb: -12.983373
Palabra: aai Frec: 4 LogProb: -11.373935
Palabra: aaiffel Frec: 0 LogProb: -12.983373
Palabra: aaj Frec: 0 LogProb: -12.983373
Palabra: aakash Frec: 1 LogProb: -12.290225
Palabra: aakrithi Frec: 0 LogProb: -12.983373
Palabra: aalim Frec: 0 LogProb: -12.983373
Palabra: aam Frec: 1 LogProb: -12.290225
Palabra: aamazing Frec: 0 LogProb: -12.983373
Palabra: aamchur Frec: 0 LogProb: -12.983373
Palabra: aameria Frec: 0 LogProb: -12.983373
Palabra: aamras Frec: 0 LogProb: -12.983373
Palabra: aandhi Frec: 1 LogProb: -12.290225
Palabra: aandwiches Frec: 0 LogProb: -12.983373
Palabra: aania Frec: 0 LogProb: -12.983373
Palabra: aanya Frec: 1 LogProb: -12.290225
Palabra: aanyacentric Frec: 0 LogProb: -12.983373
Palabra: aao Frec: 3 LogProb: -11.597078
Palabra: aar Frec: 1 LogProb: -12.290225
Palabra: aaram Frec: 0 LogProb: -12.983373
Palabra: aarav Frec: 0 LogProb: -12.983373
Palabra: aarbee Frec: 0 LogProb: -12.983373
Palabra: aarfa Frec: 1 LogProb: -12.290225
Palabra: aari Frec: 0 LogProb: -12.983373
Palabra: aarika Frec: 0 LogProb: -12.983373
Palabra: aarka Frec: 0 LogProb: -12.983373
Palabra: aaron Frec: 3 LogProb: -11.597078
Palabra: aaronovitch Frec: 3 LogProb: -11.597078
Palabra: aarsun Frec: 0 LogProb: -12.983373
Palabra: aart Frec: 2 LogProb: -11.884760
Palabra: aarti Frec: 3 LogProb: -11.597078
Palabra: aas Frec: 1 LogProb: -12.290225
Palabra: aasa Frec: 0 LogProb: -12.983373
Palabra: aashi Frec: 0 LogProb: -12.983373
Palabra: aashiqui Frec: 1 LogProb: -12.290225
Palabra: aashirya Frec: 0 LogProb: -12.983373
Palabra: aashto Frec: 1 LogProb: -12.290225
Palabra: aassembly Frec: 0 LogProb: -12.983373
Palabra: aata Frec: 0 LogProb: -12.983373
Palabra: aatachable Frec: 0 LogProb: -12.983373
Palabra: aati Frec: 1 LogProb: -12.290225
Palabra: aattractive Frec: 0 LogProb: -12.983373
Palabra: aatu Frec: 0 LogProb: -12.983373
Palabra: aaux Frec: 0 LogProb: -12.983373
Palabra: aavishkar Frec: 1 LogProb: -12.290225
Palabra: aavjo Frec: 0 LogProb: -12.983373
Palabra: aayog Frec: 0 LogProb: -12.983373
Palabra: aazeem Frec: 0 LogProb: -12.983373
Palabra: ab Frec: 8 LogProb: -10.786148
Palabra: aba Frec: 4 LogProb: -11.373935
Palabra: ababa Frec: 1 LogProb: -12.290225
Palabra: abacus Frec: 0 LogProb: -12.983373
Palabra: abandon Frec: 1 LogProb: -12.290225
Palabra: abandoned Frec: 10 LogProb: -10.585477
Palabra: abandoning Frec: 1 LogProb: -12.290225
Palabra: abandons Frec: 1 LogProb: -12.290225
Palabra: abap Frec: 1 LogProb: -12.290225
Palabra: abarata Frec: 0 LogProb: -12.983373
Palabra: abaya Frec: 0 LogProb: -12.983373
Palabra: abayas Frec: 0 LogProb: -12.983373
Palabra: abb Frec: 0 LogProb: -12.983373
Palabra: abba Frec: 3 LogProb: -11.597078
Palabra: abbasi Frec: 1 LogProb: -12.290225
Palabra: abbasid Frec: 1 LogProb: -12.290225
Palabra: abbe Frec: 0 LogProb: -12.983373
Palabra: abbey Frec: 1 LogProb: -12.290225
Palabra: abbott Frec: 9 LogProb: -10.680787
Palabra: abbreviation Frec: 1 LogProb: -12.290225
Palabra: abbreviations Frec: 2 LogProb: -11.884760
Palabra: abby Frec: 2 LogProb: -11.884760
Palabra: abbyhus Frec: 0 LogProb: -12.983373
Palabra: abc Frec: 23 LogProb: -9.805319
Palabra: abcnews Frec: 1 LogProb: -12.290225
Palabra: abcs Frec: 3 LogProb: -11.597078
Palabra: abd Frec: 1 LogProb: -12.290225
Palabra: abdomen Frec: 0 LogProb: -12.983373
Palabra: abdominal Frec: 0 LogProb: -12.983373
Palabra: abdomino Frec: 1 LogProb: -12.290225
Palabra: abdool Frec: 1 LogProb: -12.290225
Palabra: abdul Frec: 11 LogProb: -10.498466
Palabra: abe Frec: 0 LogProb: -12.983373
Palabra: abec Frec: 1 LogProb: -12.290225
Palabra: abee Frec: 0 LogProb: -12.983373
Palabra: abel Frec: 14 LogProb: -10.275322
Palabra: aberdeen Frec: 1 LogProb: -12.290225
Palabra: aberrant Frec: 1 LogProb: -12.290225
Palabra: aberration Frec: 0 LogProb: -12.983373
Palabra: aberrations Frec: 0 LogProb: -12.983373
Palabra: aberystwyth Frec: 1 LogProb: -12.290225
Palabra: abha Frec: 1 LogProb: -12.290225
Palabra: abhaya Frec: 0 LogProb: -12.983373
Palabra: abhi Frec: 1 LogProb: -12.290225
Palabra: abhijeet Frec: 1 LogProb: -12.290225
Palabra: abhinav Frec: 3 LogProb: -11.597078
Palabra: abhishek Frec: 8 LogProb: -10.786148
Palabra: abhista Frec: 0 LogProb: -12.983373
Palabra: abhivriti Frec: 3 LogProb: -11.597078
Palabra: abhiyaan Frec: 0 LogProb: -12.983373
Palabra: abhiyanta Frec: 1 LogProb: -12.290225
Palabra: abhiyogyata Frec: 1 LogProb: -12.290225
Palabra: abhm Frec: 1 LogProb: -12.290225
Palabra: abhor Frec: 1 LogProb: -12.290225
Palabra: abhorrence Frec: 1 LogProb: -12.290225
Palabra: abide Frec: 1 LogProb: -12.290225
Palabra: abided Frec: 1 LogProb: -12.290225
Palabra: abiding Frec: 2 LogProb: -11.884760
Palabra: abie Frec: 3 LogProb: -11.597078
Palabra: abies Frec: 0 LogProb: -12.983373
Palabra: abigail Frec: 6 LogProb: -11.037462
Palabra: abilities Frec: 12 LogProb: -10.418423
Palabra: ability Frec: 130 LogProb: -8.108175
Palabra: abiti Frec: 0 LogProb: -12.983373
Palabra: abito Frec: 0 LogProb: -12.983373
Palabra: abject Frec: 1 LogProb: -12.290225
Palabra: abjection Frec: 1 LogProb: -12.290225
Palabra: ableconn Frec: 0 LogProb: -12.983373
Palabra: abled Frec: 1 LogProb: -12.290225
Palabra: ablity Frec: 0 LogProb: -12.983373
Palabra: ably Frec: 2 LogProb: -11.884760
Palabra: abnormal Frec: 6 LogProb: -11.037462
Palabra: abnormality Frec: 0 LogProb: -12.983373
Palabra: aboard Frec: 6 LogProb: -11.037462
Palabra: abode Frec: 2 LogProb: -11.884760
Palabra: abolished Frec: 1 LogProb: -12.290225
Palabra: abolishes Frec: 0 LogProb: -12.983373
Palabra: abominations Frec: 1 LogProb: -12.290225
Palabra: abony Frec: 0 LogProb: -12.983373
Palabra: aboriginal Frec: 1 LogProb: -12.290225
Palabra: aborn Frec: 1 LogProb: -12.290225
Palabra: abortion Frec: 15 LogProb: -10.210784
Palabra: abortions Frec: 1 LogProb: -12.290225
Palabra: abortive Frec: 1 LogProb: -12.290225
Palabra: abound Frec: 1 LogProb: -12.290225
Palabra: abounds Frec: 1 LogProb: -12.290225
Palabra: abour Frec: 0 LogProb: -12.983373
Palabra: aboutthefit Frec: 0 LogProb: -12.983373
Palabra: aboutthis Frec: 0 LogProb: -12.983373
Palabra: above Frec: 78 LogProb: -8.613925
Palabra: abovea Frec: 1 LogProb: -12.290225
Palabra: aboveideal Frec: 1 LogProb: -12.290225
Palabra: aboveled Frec: 0 LogProb: -12.983373
Palabra: abpp Frec: 2 LogProb: -11.884760
Palabra: abraham Frec: 11 LogProb: -10.498466
Palabra: abrahams Frec: 1 LogProb: -12.290225
Palabra: abrams Frec: 2 LogProb: -11.884760
Palabra: abramson Frec: 1 LogProb: -12.290225
Palabra: abrasion Frec: 0 LogProb: -12.983373
Palabra: abrasive Frec: 0 LogProb: -12.983373
Palabra: abrasives Frec: 0 LogProb: -12.983373
Palabra: abreast Frec: 2 LogProb: -11.884760
Palabra: abri Frec: 0 LogProb: -12.983373
Palabra: abridged Frec: 5 LogProb: -11.191613
Palabra: abridgement Frec: 1 LogProb: -12.290225
Palabra: abridgment Frec: 2 LogProb: -11.884760
Palabra: abridgments Frec: 1 LogProb: -12.290225
Palabra: abro Frec: 0 LogProb: -12.983373
Palabra: abroad Frec: 30 LogProb: -9.549385
Palabra: abruptly Frec: 2 LogProb: -11.884760
Palabra: abruzzi Frec: 6 LogProb: -11.037462
Palabra: abs Frec: 5 LogProb: -11.191613
Palabra: absactual Frec: 0 LogProb: -12.983373
Palabra: absales Frec: 0 LogProb: -12.983373
Palabra: absbearing Frec: 0 LogProb: -12.983373
Palabra: abscolour Frec: 0 LogProb: -12.983373
Palabra: abscompatibility Frec: 0 LogProb: -12.983373
Palabra: absence Frec: 8 LogProb: -10.786148
Palabra: absent Frec: 3 LogProb: -11.597078
Palabra: absolute Frec: 16 LogProb: -10.150159
Palabra: absolutebest Frec: 1 LogProb: -12.290225
Palabra: absolutely Frec: 53 LogProb: -8.994389
Palabra: absolutism Frec: 1 LogProb: -12.290225
Palabra: absolutist Frec: 1 LogProb: -12.290225
Palabra: absorb Frec: 7 LogProb: -10.903931
Palabra: absorbable Frec: 0 LogProb: -12.983373
Palabra: absorbance Frec: 0 LogProb: -12.983373
Palabra: absorbed Frec: 5 LogProb: -11.191613
Palabra: absorbency Frec: 0 LogProb: -12.983373
Palabra: absorbent Frec: 1 LogProb: -12.290225
Palabra: absorber Frec: 0 LogProb: -12.983373
Palabra: absorbia Frec: 0 LogProb: -12.983373
Palabra: absorbing Frec: 31 LogProb: -9.517636
Palabra: absorbingly Frec: 2 LogProb: -11.884760
Palabra: absorbs Frec: 4 LogProb: -11.373935
Palabra: absorpt Frec: 0 LogProb: -12.983373
Palabra: absorption Frec: 0 LogProb: -12.983373
Palabra: absorptive Frec: 0 LogProb: -12.983373
Palabra: absplusmetal Frec: 0 LogProb: -12.983373
Palabra: absproduct Frec: 0 LogProb: -12.983373
Palabra: absrobent Frec: 0 LogProb: -12.983373
Palabra: abstinent Frec: 0 LogProb: -12.983373
Palabra: abstract Frec: 4 LogProb: -11.373935
Palabra: abstracted Frec: 1 LogProb: -12.290225
Palabra: abstraction Frec: 1 LogProb: -12.290225
Palabra: abstractions Frec: 1 LogProb: -12.290225
Palabra: absurd Frec: 10 LogProb: -10.585477
Palabra: absurdism Frec: 1 LogProb: -12.290225
Palabra: absurdities Frec: 1 LogProb: -12.290225
Palabra: absurdity Frec: 2 LogProb: -11.884760
Palabra: absurdly Frec: 2 LogProb: -11.884760
Palabra: abt Frec: 2 LogProb: -11.884760
Palabra: abta Frec: 1 LogProb: -12.290225
Palabra: abtrix Frec: 0 LogProb: -12.983373
Palabra: abu Frec: 4 LogProb: -11.373935
Palabra: abubaker Frec: 1 LogProb: -12.290225
Palabra: abuela Frec: 2 LogProb: -11.884760
Palabra: abul Frec: 1 LogProb: -12.290225
Palabra: abundance Frec: 10 LogProb: -10.585477
Palabra: abundant Frec: 5 LogProb: -11.191613
Palabra: abundantly Frec: 1 LogProb: -12.290225
Palabra: abuse Frec: 11 LogProb: -10.498466
Palabra: abused Frec: 0 LogProb: -12.983373
Palabra: abuses Frec: 5 LogProb: -11.191613
Palabra: abusive Frec: 2 LogProb: -11.884760
Palabra: abx Frec: 0 LogProb: -12.983373
Palabra: abxy Frec: 0 LogProb: -12.983373
Palabra: aby Frec: 0 LogProb: -12.983373
Palabra: abyssinia Frec: 1 LogProb: -12.290225
Palabra: abzorb Frec: 0 LogProb: -12.983373
Palabra: abzorbt Frec: 0 LogProb: -12.983373
Palabra: ac Frec: 3 LogProb: -11.597078
Palabra: acacia Frec: 0 LogProb: -12.983373
Palabra: acadamese Frec: 1 LogProb: -12.290225
