Numero de documentos del corpus: 4053
Numero de palabras del corpus: 203010
Palabra: 4053 Frec: 1 LogProb: -11.764727
Palabra: aa Frec: 3 LogProb: -11.071579
Palabra: aaa Frec: 0 LogProb: -12.457873
Palabra: aaabattery Frec: 0 LogProb: -12.457873
Palabra: aaar Frec: 0 LogProb: -12.457873
Palabra: aaas Frec: 0 LogProb: -12.457873
Palabra: aac Frec: 0 LogProb: -12.457873
Palabra: aachen Frec: 0 LogProb: -12.457873
Palabra: aadhaar Frec: 0 LogProb: -12.457873
Palabra: aadhar Frec: 0 LogProb: -12.457873
Palabra: aadhunik Frec: 0 LogProb: -12.457873
Palabra: aadhya Frec: 0 LogProb: -12.457873
Palabra: aadi Frec: 0 LogProb: -12.457873
Palabra: aadmi Frec: 0 LogProb: -12.457873
Palabra: aadmora Frec: 0 LogProb: -12.457873
Palabra: aadvay Frec: 0 LogProb: -12.457873
Palabra: aai Frec: 0 LogProb: -12.457873
Palabra: aaiffel Frec: 0 LogProb: -12.457873
Palabra: aaj Frec: 0 LogProb: -12.457873
Palabra: aakash Frec: 0 LogProb: -12.457873
Palabra: aakrithi Frec: 11 LogProb: -9.972967
Palabra: aalim Frec: 0 LogProb: -12.457873
Palabra: aam Frec: 0 LogProb: -12.457873
Palabra: aamazing Frec: 0 LogProb: -12.457873
Palabra: aamchur Frec: 0 LogProb: -12.457873
Palabra: aameria Frec: 0 LogProb: -12.457873
Palabra: aamras Frec: 0 LogProb: -12.457873
Palabra: aandhi Frec: 0 LogProb: -12.457873
Palabra: aandwiches Frec: 0 LogProb: -12.457873
Palabra: aania Frec: 2 LogProb: -11.359262
Palabra: aanya Frec: 0 LogProb: -12.457873
Palabra: aanyacentric Frec: 0 LogProb: -12.457873
Palabra: aao Frec: 0 LogProb: -12.457873
Palabra: aar Frec: 0 LogProb: -12.457873
Palabra: aaram Frec: 0 LogProb: -12.457873
Palabra: aarav Frec: 0 LogProb: -12.457873
Palabra: aarbee Frec: 3 LogProb: -11.071579
Palabra: aarfa Frec: 0 LogProb: -12.457873
Palabra: aari Frec: 2 LogProb: -11.359262
Palabra: aarika Frec: 2 LogProb: -11.359262
Palabra: aarka Frec: 0 LogProb: -12.457873
Palabra: aaron Frec: 0 LogProb: -12.457873
Palabra: aaronovitch Frec: 0 LogProb: -12.457873
Palabra: aarsun Frec: 0 LogProb: -12.457873
Palabra: aart Frec: 0 LogProb: -12.457873
Palabra: aarti Frec: 0 LogProb: -12.457873
Palabra: aas Frec: 0 LogProb: -12.457873
Palabra: aasa Frec: 2 LogProb: -11.359262
Palabra: aashi Frec: 0 LogProb: -12.457873
Palabra: aashiqui Frec: 0 LogProb: -12.457873
Palabra: aashirya Frec: 1 LogProb: -11.764727
Palabra: aashto Frec: 0 LogProb: -12.457873
Palabra: aassembly Frec: 0 LogProb: -12.457873
Palabra: aata Frec: 0 LogProb: -12.457873
Palabra: aatachable Frec: 1 LogProb: -11.764727
Palabra: aati Frec: 0 LogProb: -12.457873
Palabra: aattractive Frec: 2 LogProb: -11.359262
Palabra: aatu Frec: 1 LogProb: -11.764727
Palabra: aaux Frec: 0 LogProb: -12.457873
Palabra: aavishkar Frec: 0 LogProb: -12.457873
Palabra: aavjo Frec: 0 LogProb: -12.457873
Palabra: aayog Frec: 0 LogProb: -12.457873
Palabra: aazeem Frec: 0 LogProb: -12.457873
Palabra: ab Frec: 1 LogProb: -11.764727
Palabra: aba Frec: 0 LogProb: -12.457873
Palabra: ababa Frec: 0 LogProb: -12.457873
Palabra: abacus Frec: 0 LogProb: -12.457873
