Numero de documentos del corpus: 3887
Numero de palabras del corpus: 334261
Palabra: 3887 Frec: 1 LogProb: -12.176950
Palabra: aa Frec: 71 LogProb: -8.593431
Palabra: aaa Frec: 41 LogProb: -9.132428
Palabra: aaabattery Frec: 1 LogProb: -12.176950
Palabra: aaar Frec: 0 LogProb: -12.870097
Palabra: aaas Frec: 0 LogProb: -12.870097
Palabra: aac Frec: 31 LogProb: -9.404362
Palabra: aachen Frec: 0 LogProb: -12.870097
Palabra: aadhaar Frec: 4 LogProb: -11.260659
Palabra: aadhar Frec: 1 LogProb: -12.176950
Palabra: aadhunik Frec: 0 LogProb: -12.870097
Palabra: aadhya Frec: 0 LogProb: -12.870097
Palabra: aadi Frec: 0 LogProb: -12.870097
Palabra: aadmi Frec: 0 LogProb: -12.870097
Palabra: aadmora Frec: 0 LogProb: -12.870097
Palabra: aadvay Frec: 0 LogProb: -12.870097
Palabra: aai Frec: 0 LogProb: -12.870097
Palabra: aaiffel Frec: 0 LogProb: -12.870097
Palabra: aaj Frec: 0 LogProb: -12.870097
Palabra: aakash Frec: 0 LogProb: -12.870097
Palabra: aakrithi Frec: 0 LogProb: -12.870097
Palabra: aalim Frec: 0 LogProb: -12.870097
Palabra: aam Frec: 0 LogProb: -12.870097
Palabra: aamazing Frec: 0 LogProb: -12.870097
Palabra: aamchur Frec: 0 LogProb: -12.870097
Palabra: aameria Frec: 0 LogProb: -12.870097
Palabra: aamras Frec: 0 LogProb: -12.870097
Palabra: aandhi Frec: 0 LogProb: -12.870097
Palabra: aandwiches Frec: 0 LogProb: -12.870097
Palabra: aania Frec: 0 LogProb: -12.870097
Palabra: aanya Frec: 0 LogProb: -12.870097
Palabra: aanyacentric Frec: 0 LogProb: -12.870097
Palabra: aao Frec: 0 LogProb: -12.870097
Palabra: aar Frec: 0 LogProb: -12.870097
Palabra: aaram Frec: 0 LogProb: -12.870097
Palabra: aarav Frec: 0 LogProb: -12.870097
Palabra: aarbee Frec: 0 LogProb: -12.870097
Palabra: aarfa Frec: 0 LogProb: -12.870097
Palabra: aari Frec: 0 LogProb: -12.870097
Palabra: aarika Frec: 0 LogProb: -12.870097
Palabra: aarka Frec: 0 LogProb: -12.870097
Palabra: aaron Frec: 0 LogProb: -12.870097
Palabra: aaronovitch Frec: 0 LogProb: -12.870097
Palabra: aarsun Frec: 0 LogProb: -12.870097
Palabra: aart Frec: 0 LogProb: -12.870097
Palabra: aarti Frec: 0 LogProb: -12.870097
Palabra: aas Frec: 0 LogProb: -12.870097
Palabra: aasa Frec: 0 LogProb: -12.870097
Palabra: aashi Frec: 0 LogProb: -12.870097
Palabra: aashiqui Frec: 0 LogProb: -12.870097
Palabra: aashirya Frec: 0 LogProb: -12.870097
Palabra: aashto Frec: 0 LogProb: -12.870097
Palabra: aassembly Frec: 1 LogProb: -12.176950
Palabra: aata Frec: 0 LogProb: -12.870097
Palabra: aatachable Frec: 0 LogProb: -12.870097
Palabra: aati Frec: 0 LogProb: -12.870097
Palabra: aattractive Frec: 0 LogProb: -12.870097
Palabra: aatu Frec: 0 LogProb: -12.870097
Palabra: aaux Frec: 1 LogProb: -12.176950
Palabra: aavishkar Frec: 0 LogProb: -12.870097
Palabra: aavjo Frec: 0 LogProb: -12.870097
Palabra: aayog Frec: 2 LogProb: -11.771485
Palabra: aazeem Frec: 0 LogProb: -12.870097
Palabra: ab Frec: 13 LogProb: -10.231040
Palabra: aba Frec: 0 LogProb: -12.870097
Palabra: ababa Frec: 0 LogProb: -12.870097
Palabra: abacus Frec: 0 LogProb: -12.870097
Palabra: abandon Frec: 1 LogProb: -12.176950
