Numero de documentos del corpus: 7561
Numero de palabras del corpus: 537653
Palabra: 7561 Frec: 1 LogProb: -12.597964
Palabra: aa Frec: 57 LogProb: -9.230668
Palabra: aaa Frec: 31 LogProb: -9.825376
Palabra: aaabattery Frec: 0 LogProb: -13.291112
Palabra: aaar Frec: 0 LogProb: -13.291112
Palabra: aaas Frec: 0 LogProb: -13.291112
Palabra: aac Frec: 1 LogProb: -12.597964
Palabra: aachen Frec: 0 LogProb: -13.291112
Palabra: aadhaar Frec: 0 LogProb: -13.291112
Palabra: aadhar Frec: 0 LogProb: -13.291112
Palabra: aadhunik Frec: 0 LogProb: -13.291112
Palabra: aadhya Frec: 2 LogProb: -12.192499
Palabra: aadi Frec: 0 LogProb: -13.291112
Palabra: aadmi Frec: 0 LogProb: -13.291112
Palabra: aadmora Frec: 0 LogProb: -13.291112
Palabra: aadvay Frec: 1 LogProb: -12.597964
Palabra: aai Frec: 1 LogProb: -12.597964
Palabra: aaiffel Frec: 0 LogProb: -13.291112
Palabra: aaj Frec: 0 LogProb: -13.291112
Palabra: aakash Frec: 0 LogProb: -13.291112
Palabra: aakrithi Frec: 0 LogProb: -13.291112
Palabra: aalim Frec: 1 LogProb: -12.597964
Palabra: aam Frec: 4 LogProb: -11.681674
Palabra: aamazing Frec: 1 LogProb: -12.597964
Palabra: aamchur Frec: 1 LogProb: -12.597964
Palabra: aameria Frec: 0 LogProb: -13.291112
Palabra: aamras Frec: 1 LogProb: -12.597964
Palabra: aandhi Frec: 0 LogProb: -13.291112
Palabra: aandwiches Frec: 1 LogProb: -12.597964
Palabra: aania Frec: 0 LogProb: -13.291112
Palabra: aanya Frec: 1 LogProb: -12.597964
Palabra: aanyacentric Frec: 0 LogProb: -13.291112
Palabra: aao Frec: 0 LogProb: -13.291112
Palabra: aar Frec: 0 LogProb: -13.291112
Palabra: aaram Frec: 3 LogProb: -11.904818
Palabra: aarav Frec: 0 LogProb: -13.291112
Palabra: aarbee Frec: 0 LogProb: -13.291112
Palabra: aarfa Frec: 0 LogProb: -13.291112
Palabra: aari Frec: 2 LogProb: -12.192499
Palabra: aarika Frec: 0 LogProb: -13.291112
Palabra: aarka Frec: 3 LogProb: -11.904818
Palabra: aaron Frec: 0 LogProb: -13.291112
Palabra: aaronovitch Frec: 0 LogProb: -13.291112
Palabra: aarsun Frec: 8 LogProb: -11.093887
Palabra: aart Frec: 10 LogProb: -10.893216
Palabra: aarti Frec: 4 LogProb: -11.681674
Palabra: aas Frec: 0 LogProb: -13.291112
Palabra: aasa Frec: 0 LogProb: -13.291112
Palabra: aashi Frec: 1 LogProb: -12.597964
Palabra: aashiqui Frec: 0 LogProb: -13.291112
Palabra: aashirya Frec: 0 LogProb: -13.291112
Palabra: aashto Frec: 0 LogProb: -13.291112
Palabra: aassembly Frec: 0 LogProb: -13.291112
Palabra: aata Frec: 1 LogProb: -12.597964
